player1	m1	m2	won
AI	62	 58	1
Self	57	 43	1
AI	45	 57	1
Self	57	 23	1
AI	2	 56	1
Self	57	 101	1
AI	93	 57	0
Self	57	 96	1
AI	48	 57	1
Self	57	 100	0
AI	61	 57	0
Self	57	 32	1
AI	48	 57	1
Self	57	 84	1
AI	3	 57	1
Self	57	 4	0
AI	113	 71	1
Self	57	 92	0
AI	105	 69	1
Self	57	 33	1
AI	78	 56	0
Self	57	 30	0
AI	88	 57	0
Self	57	 113	1
AI	28	 58	1
Self	57	 105	0
AI	45	 57	1
Self	57	 110	0
AI	19	 44	1
Self	57	 40	0
AI	35	 56	1
Self	57	 74	0
AI	41	 56	1
Self	57	 61	1
AI	52	 56	0
Self	57	 79	0
AI	62	 58	1
Self	57	 7	0
AI	65	 58	1
Self	57	 68	1
AI	43	 58	1
Self	57	 67	0
AI	14	 56	0
Self	57	 26	0
AI	27	 57	0
Self	57	 45	0
AI	10	 56	0
Self	57	 68	1
AI	61	 57	0
Self	57	 52	0
AI	41	 56	1
Self	57	 21	1
AI	67	 56	0
Self	57	 31	1
AI	80	 57	0
Self	57	 46	0
AI	82	 57	1
Self	57	 43	1
AI	80	 57	0
Self	57	 73	0
AI	21	 56	1
Self	57	 35	1
AI	56	 58	1
Self	57	 108	0
AI	85	 58	1
Self	57	 6	0
AI	49	 58	0
Self	57	 43	1
AI	81	 56	1
Self	57	 15	0
AI	46	 57	1
Self	57	 82	0
AI	54	 56	0
Self	57	 60	1
AI	36	 58	1
Self	57	 23	1
AI	40	 55	1
Self	57	 0	0
AI	18	 56	1
Self	57	 66	1
AI	54	 56	0
Self	57	 23	1
AI	36	 58	1
Self	57	 105	0
AI	20	 56	1
Self	57	 73	0
AI	91	 56	0
Self	57	 32	1
AI	62	 58	1
Self	57	 104	1
AI	104	 58	1
Self	57	 27	1
AI	60	 57	1
Self	57	 85	0
AI	98	 56	0
Self	57	 41	1
AI	68	 57	1
Self	57	 62	1
AI	79	 58	0
Self	57	 54	1
AI	54	 56	0
Self	57	 3	1
AI	53	 57	0
Self	57	 18	1
AI	100	 58	0
Self	57	 32	1
AI	33	 58	1
Self	57	 20	0
AI	28	 58	1
Self	57	 67	0
AI	65	 58	1
Self	57	 54	1
AI	58	 56	0
Self	57	 41	1
AI	83	 56	0
Self	57	 101	1
AI	52	 56	0
Self	57	 41	1
AI	55	 56	1
Self	57	 66	1
AI	10	 56	0
Self	57	 15	0
AI	108	 56	1
Self	57	 5	1
AI	54	 56	0
Self	57	 42	0
AI	33	 58	1
Self	57	 70	1
AI	114	 57	1
Self	57	 113	1
AI	79	 58	0
Self	57	 3	1
AI	72	 57	1
Self	57	 56	1
AI	80	 57	0
Self	57	 75	0
AI	109	 57	0
Self	57	 58	0
AI	67	 56	0
Self	57	 94	1
AI	79	 58	0
Self	57	 43	1
AI	39	 56	1
Self	57	 33	1
AI	26	 58	0
Self	57	 4	0
AI	62	 58	1
Self	57	 26	0
AI	4	 56	0
Self	57	 16	1
AI	58	 56	0
Self	57	 7	0
AI	94	 56	0
Self	57	 49	1
AI	94	 56	0
Self	57	 44	0
AI	112	 58	1
Self	57	 21	1
AI	43	 58	1
Self	57	 106	1
AI	52	 56	0
Self	57	 4	0
AI	55	 56	1
Self	57	 101	1
AI	109	 57	0
Self	57	 114	0
AI	60	 57	1
Self	57	 27	1
AI	95	 57	0
Self	57	 86	1
AI	29	 56	0
Self	57	 85	0
AI	91	 56	0
Self	57	 9	1
AI	113	 71	1
Self	57	 88	1
AI	61	 57	0
Self	57	 100	0
AI	99	 57	1
Self	57	 53	0
AI	39	 56	1
Self	57	 10	1
AI	101	 59	0
Self	57	 47	1
AI	47	 58	1
Self	57	 29	1
AI	105	 69	1
Self	57	 95	1
AI	100	 58	0
Self	57	 105	0
AI	69	 58	0
Self	57	 55	1
AI	60	 57	1
Self	57	 87	1
AI	113	 71	1
Self	57	 80	1
AI	68	 57	1
Self	57	 100	0
AI	109	 57	0
Self	57	 93	1
